"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","513","get all users and then get the first user by id","","2026-08-31","passed","2026-08-31","","","",""
"","767","create a user and then get it by id","","2026-08-31","passed","2026-08-31","","","",""
"","640","get all employees","","2026-08-31","passed","2026-08-31","","","",""
